,compound,create_date,negative,neutral,news_media,positive,tweets_ago
0,0.0,2017-09-21 09:41:02+00:00,0.0,1.0,nytimes,0.0,0
1,0.0,2017-09-21 09:30:08+00:00,0.0,1.0,nytimes,0.0,-1
2,-0.7398,2017-09-21 09:15:06+00:00,0.312,0.688,nytimes,0.0,-2
3,0.0,2017-09-21 08:59:05+00:00,0.0,1.0,nytimes,0.0,-3
4,-0.6705,2017-09-21 08:46:04+00:00,0.257,0.743,nytimes,0.0,-4
5,-0.3182,2017-09-21 08:25:04+00:00,0.133,0.867,nytimes,0.0,-5
6,-0.0258,2017-09-21 08:15:02+00:00,0.148,0.71,nytimes,0.142,-6
7,0.0,2017-09-21 08:00:09+00:00,0.0,1.0,nytimes,0.0,-7
8,-0.7717,2017-09-21 07:45:08+00:00,0.261,0.739,nytimes,0.0,-8
9,-0.5023,2017-09-21 07:30:17+00:00,0.221,0.779,nytimes,0.0,-9
10,0.0,2017-09-21 07:15:09+00:00,0.0,1.0,nytimes,0.0,-10
11,-0.7506,2017-09-21 06:59:05+00:00,0.274,0.726,nytimes,0.0,-11
12,0.3597,2017-09-21 06:45:06+00:00,0.0,0.872,nytimes,0.128,-12
13,-0.296,2017-09-21 06:30:04+00:00,0.104,0.896,nytimes,0.0,-13
14,-0.0258,2017-09-21 06:15:08+00:00,0.135,0.735,nytimes,0.131,-14
15,0.4907,2017-09-21 06:10:03+00:00,0.049,0.809,nytimes,0.142,-15
16,0.1531,2017-09-21 05:55:05+00:00,0.124,0.684,nytimes,0.192,-16
17,0.128,2017-09-21 05:40:26+00:00,0.131,0.717,nytimes,0.152,-17
18,-0.0258,2017-09-21 05:17:07+00:00,0.148,0.71,nytimes,0.142,-18
19,0.3818,2017-09-21 05:02:00+00:00,0.0,0.874,nytimes,0.126,-19
20,0.0,2017-09-21 04:47:04+00:00,0.0,1.0,nytimes,0.0,-20
21,-0.7398,2017-09-21 04:32:06+00:00,0.312,0.688,nytimes,0.0,-21
22,-0.1027,2017-09-21 04:17:05+00:00,0.085,0.915,nytimes,0.0,-22
23,-0.4215,2017-09-21 04:02:02+00:00,0.293,0.575,nytimes,0.132,-23
24,-0.1027,2017-09-21 03:48:09+00:00,0.065,0.935,nytimes,0.0,-24
25,0.0,2017-09-21 03:37:06+00:00,0.0,1.0,nytimes,0.0,-25
26,-0.743,2017-09-21 03:27:02+00:00,0.27,0.73,nytimes,0.0,-26
27,-0.7263,2017-09-21 03:17:04+00:00,0.289,0.711,nytimes,0.0,-27
28,0.0,2017-09-21 03:07:03+00:00,0.0,1.0,nytimes,0.0,-28
29,-0.25,2017-09-21 02:57:03+00:00,0.1,0.9,nytimes,0.0,-29
30,-0.8126,2017-09-21 02:47:05+00:00,0.402,0.598,nytimes,0.0,-30
31,0.4329,2017-09-21 02:37:04+00:00,0.137,0.684,nytimes,0.179,-31
32,-0.9493,2017-09-21 02:27:04+00:00,0.572,0.428,nytimes,0.0,-32
33,0.4019,2017-09-21 02:17:03+00:00,0.0,0.748,nytimes,0.252,-33
34,-0.0258,2017-09-21 02:02:07+00:00,0.148,0.71,nytimes,0.142,-34
35,-0.2263,2017-09-21 01:48:01+00:00,0.106,0.894,nytimes,0.0,-35
36,0.0,2017-09-21 01:37:01+00:00,0.0,1.0,nytimes,0.0,-36
37,0.0,2017-09-21 01:26:04+00:00,0.0,1.0,nytimes,0.0,-37
38,0.3818,2017-09-21 01:17:01+00:00,0.0,0.88,nytimes,0.12,-38
39,0.0,2017-09-21 01:02:03+00:00,0.0,1.0,nytimes,0.0,-39
